THONG KE TONG HOP
Tram,Nhiet_do_TB,Nhiet_do_Std,Nhiet_do_Max,Nhiet_do_Min,Do_am_TB,Do_am_Std,Do_am_Max,Do_am_Min,Mua_TB,Mua_Std,Mua_Max,Mua_Min,Tong_mua,So_ngay_nong,So_ngay_mua_lon
BAC,24.28,7.62,37.66,12.14,67.94,15.88,94.50,40.30,97.14,56.53,179.90,2.00,17486.00,21,137
NAM,27.99,6.06,39.78,18.32,70.86,15.24,97.80,45.20,110.25,64.66,219.50,2.40,19845.40,29,142

CHI TIET TUNG NGAY
date,temp_bac,temp_nam,humidity_bac,humidity_nam,rainfall_bac,rainfall_nam,loai_bac,loai_nam
2025-01-01,21.74,38.99,58.80,94.70,69.90,45.70,Canh bao,Canh bao
2025-01-02,36.72,31.34,46.20,54.60,115.80,5.80,Bien dong manh,Bien dong manh
2025-01-03,31.03,23.03,90.90,48.50,82.50,39.90,Bien dong manh,Bien dong manh
2025-01-04,27.57,32.78,88.30,84.30,98.20,128.30,Canh bao,Bien dong manh
2025-01-05,16.06,31.60,54.20,75.40,169.50,92.70,Bien dong manh,Canh bao
2025-01-06,16.06,25.88,76.30,89.60,69.50,196.40,Bien dong manh,Bien dong manh
2025-01-07,13.51,20.50,84.90,52.40,173.00,179.80,Bien dong manh,Bien dong manh
2025-01-08,34.52,32.77,70.50,87.10,163.00,75.20,Bien dong manh,Bien dong manh
2025-01-09,27.63,29.45,69.10,55.70,35.20,57.10,Bien dong manh,Bien dong manh
2025-01-10,30.41,34.99,53.30,53.70,12.50,83.50,Bien dong manh,Canh bao
2025-01-11,12.54,29.44,45.10,53.70,18.10,129.90,Bien dong manh,Bien dong manh
2025-01-12,37.22,36.75,89.30,88.20,3.30,59.00,Bien dong manh,Bien dong manh
2025-01-13,33.64,30.14,89.50,80.30,17.00,137.30,Binh thuong,Bien dong manh
2025-01-14,17.52,30.34,74.80,72.70,122.90,90.10,Bien dong manh,Bien dong manh
2025-01-15,16.73,37.29,58.60,64.00,12.80,121.50,Bien dong manh,Canh bao
2025-01-16,16.77,26.88,59.20,91.50,57.40,95.90,Bien dong manh,Bien dong manh
2025-01-17,19.91,20.95,79.90,65.80,152.10,64.80,Bien dong manh,Bien dong manh
2025-01-18,25.64,18.63,89.30,88.30,4.20,208.70,Bien dong manh,Bien dong manh
2025-01-19,23.23,34.61,88.80,68.30,146.60,168.00,Bien dong manh,Bien dong manh
2025-01-20,19.57,31.65,82.90,65.00,50.70,30.80,Bien dong manh,Bien dong manh
2025-01-21,27.91,33.49,75.30,69.50,21.30,191.10,Bien dong manh,Bien dong manh
2025-01-22,15.63,22.69,44.60,61.00,125.40,107.20,Bien dong manh,Bien dong manh
2025-01-23,19.60,21.00,48.90,84.60,113.20,196.80,Canh bao,Bien dong manh
2025-01-24,21.53,18.32,89.40,71.60,157.90,176.00,Bien dong manh,Canh bao
2025-01-25,23.86,25.71,73.40,57.30,132.30,93.50,Bien dong manh,Bien dong manh
2025-01-26,32.41,30.98,40.50,92.70,144.60,4.90,Bien dong manh,Bien dong manh
2025-01-27,17.19,26.63,45.60,65.30,50.80,59.10,Bien dong manh,Bien dong manh
2025-01-28,25.37,27.62,76.50,73.80,31.90,119.20,Bien dong manh,Bien dong manh
2025-01-29,27.40,37.89,40.30,93.00,135.10,139.40,Bien dong manh,Bien dong manh
2025-01-30,13.21,25.66,48.80,78.10,145.20,56.70,Bien dong manh,Bien dong manh
2025-01-31,27.80,29.31,70.20,51.20,178.30,30.70,Bien dong manh,Bien dong manh
2025-02-01,16.43,35.24,78.10,94.80,74.30,183.70,Bien dong manh,Bien dong manh
2025-02-02,13.69,26.72,75.90,78.30,67.00,216.60,Canh bao,Bien dong manh
2025-02-03,36.67,31.69,52.30,62.70,139.80,115.70,Bien dong manh,Bien dong manh
2025-02-04,37.11,36.97,79.20,52.40,61.30,37.80,Bien dong manh,Bien dong manh
2025-02-05,33.02,38.89,53.00,87.10,167.50,59.90,Bien dong manh,Bien dong manh
2025-02-06,19.92,21.24,57.90,77.90,154.50,4.00,Bien dong manh,Bien dong manh
2025-02-07,14.54,38.38,81.10,73.30,77.20,201.10,Bien dong manh,Bien dong manh
2025-02-08,29.79,28.83,75.70,92.40,135.20,25.90,Bien dong manh,Bien dong manh
2025-02-09,23.44,23.68,86.70,86.80,135.80,126.80,Canh bao,Bien dong manh
2025-02-10,15.17,28.10,76.20,53.00,18.60,60.30,Bien dong manh,Bien dong manh
2025-02-11,24.87,39.56,71.30,61.50,162.50,121.90,Bien dong manh,Bien dong manh
2025-02-12,12.89,28.84,45.20,58.20,90.90,143.30,Bien dong manh,Bien dong manh
2025-02-13,35.64,25.23,60.20,84.40,148.80,182.50,Bien dong manh,Bien dong manh
2025-02-14,18.73,31.93,54.60,46.80,57.60,45.40,Bien dong manh,Bien dong manh
2025-02-15,29.23,23.28,53.40,75.20,161.20,2.40,Bien dong manh,Bien dong manh
2025-02-16,20.10,19.67,93.50,85.40,70.10,30.10,Bien dong manh,Binh thuong
2025-02-17,25.52,20.84,61.60,91.50,2.00,198.00,Bien dong manh,Bien dong manh
2025-02-18,26.21,20.82,89.10,63.10,163.00,192.30,Bien dong manh,Bien dong manh
2025-02-19,16.81,21.34,74.70,88.50,16.40,131.40,Bien dong manh,Bien dong manh
2025-02-20,37.21,21.05,83.70,50.90,57.50,132.10,Bien dong manh,Bien dong manh
2025-02-21,32.15,32.10,67.60,89.90,171.00,146.30,Bien dong manh,Bien dong manh
2025-02-22,36.43,22.00,71.70,51.80,171.10,38.60,Canh bao,Bien dong manh
2025-02-23,35.27,25.60,67.10,66.10,103.20,201.20,Bien dong manh,Bien dong manh
2025-02-24,27.55,37.73,50.70,87.30,113.70,92.10,Bien dong manh,Bien dong manh
2025-02-25,35.97,28.43,79.70,52.90,80.70,84.30,Bien dong manh,Bien dong manh
2025-02-26,14.30,32.69,55.40,57.20,52.80,114.20,Bien dong manh,Canh bao
2025-02-27,17.10,21.79,41.30,83.30,59.20,10.30,Canh bao,Bien dong manh
2025-02-28,13.18,22.23,75.50,83.20,121.10,36.60,Bien dong manh,Binh thuong
2025-03-01,20.46,18.90,49.70,79.00,135.40,162.40,Bien dong manh,Bien dong manh
2025-03-02,22.11,21.72,91.70,81.80,142.50,18.20,Bien dong manh,Bien dong manh
2025-03-03,19.06,24.13,92.50,73.80,142.10,132.70,Canh bao,Bien dong manh
2025-03-04,33.55,21.89,90.30,58.30,16.40,54.00,Bien dong manh,Bien dong manh
2025-03-05,21.28,19.95,60.40,63.30,89.00,85.60,Bien dong manh,Canh bao
2025-03-06,19.30,20.65,40.90,54.60,10.40,63.50,Bien dong manh,Canh bao
2025-03-07,26.11,28.14,91.10,93.10,98.90,78.20,Bien dong manh,Bien dong manh
2025-03-08,15.66,22.54,63.60,75.90,79.50,158.20,Bien dong manh,Bien dong manh
2025-03-09,32.86,26.01,93.20,66.20,159.80,65.40,Bien dong manh,Bien dong manh
2025-03-10,13.94,29.08,93.00,69.50,63.20,124.60,Bien dong manh,Bien dong manh
2025-03-11,37.66,33.19,86.90,95.20,21.10,104.70,Bien dong manh,Bien dong manh
2025-03-12,32.08,18.86,56.20,53.10,25.70,146.00,Bien dong manh,Bien dong manh
2025-03-13,17.17,35.59,61.20,76.10,137.10,206.10,Bien dong manh,Bien dong manh
2025-03-14,12.14,31.81,86.80,71.80,111.30,161.20,Bien dong manh,Bien dong manh
2025-03-15,33.20,19.80,57.40,77.40,18.20,47.30,Bien dong manh,Bien dong manh
2025-03-16,30.38,37.22,49.30,46.00,15.10,6.90,Binh thuong,Bien dong manh
2025-03-17,30.95,38.26,70.60,91.20,126.20,57.70,Bien dong manh,Bien dong manh
2025-03-18,32.05,19.34,91.50,94.40,13.10,130.90,Bien dong manh,Bien dong manh
2025-03-19,13.93,24.09,78.30,75.00,147.90,11.30,Bien dong manh,Bien dong manh
2025-03-20,21.32,35.74,71.40,81.90,127.10,109.20,Canh bao,Bien dong manh
2025-03-21,15.01,34.46,45.30,93.90,14.60,131.30,Bien dong manh,Canh bao
2025-03-22,34.44,22.06,73.80,82.50,15.30,73.50,Bien dong manh,Bien dong manh
2025-03-23,28.21,22.61,94.50,53.10,177.60,169.60,Bien dong manh,Bien dong manh
2025-03-24,20.60,26.15,47.70,75.50,67.40,23.50,Bien dong manh,Bien dong manh
2025-03-25,13.65,28.66,68.50,77.20,66.70,16.50,Bien dong manh,Binh thuong
2025-03-26,20.09,31.60,88.30,67.50,146.30,160.20,Bien dong manh,Bien dong manh
2025-03-27,20.45,26.12,80.70,84.00,170.50,109.00,Canh bao,Bien dong manh
2025-03-28,30.97,28.18,78.30,94.50,177.50,151.40,Bien dong manh,Bien dong manh
2025-03-29,28.58,34.44,78.60,94.10,135.60,95.70,Bien dong manh,Bien dong manh
2025-03-30,35.07,18.81,59.80,68.90,67.70,54.20,Bien dong manh,Bien dong manh
2025-03-31,24.28,23.55,56.10,51.00,15.00,180.20,Bien dong manh,Bien dong manh
2025-04-01,15.11,33.69,84.50,97.20,139.90,175.90,Bien dong manh,Bien dong manh
2025-04-02,30.54,37.69,84.60,89.50,100.50,152.80,Bien dong manh,Canh bao
2025-04-03,31.78,29.26,87.70,51.60,76.40,59.90,Canh bao,Bien dong manh
2025-04-04,26.59,29.71,90.20,93.80,163.10,129.90,Bien dong manh,Bien dong manh
2025-04-05,32.05,20.36,68.10,91.10,20.00,79.40,Bien dong manh,Bien dong manh
2025-04-06,24.84,27.84,67.60,72.50,88.70,20.10,Bien dong manh,Bien dong manh
2025-04-07,25.59,29.72,83.90,76.30,2.00,201.80,Bien dong manh,Bien dong manh
2025-04-08,23.12,23.33,75.70,66.10,84.40,30.10,Bien dong manh,Bien dong manh
2025-04-09,12.66,23.92,78.60,47.90,10.10,209.10,Bien dong manh,Bien dong manh
2025-04-10,14.81,26.30,83.80,62.80,21.40,98.10,Binh thuong,Bien dong manh
2025-04-11,12.82,18.44,89.00,87.60,21.20,40.70,Binh thuong,Bien dong manh
